Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
DU20,-33.7108,118.3249,347,14.9,0.52,4.8,23.7,10.8,20.1,9.9,385,57,48,49,36,6.7,1.59,0.079,62,4,130,5.6,4.13,0.27,24,2.5,73.6,4,2,Mallee
DU21,-33.6545,118.305,331,15,0.52,4.9,24,10.9,20.4,10,382,57,49,48,4,5.8,1.03,0.04,30,2,28,0.29,1.34,0.06,9.2,1,89.9,1,9,Mallee
DU24,-33.0962,118.1579,421,15.1,0.5,4.1,26.2,10.5,21.2,9.5,377,60,54,44,6,6.1,3.07,0.117,72,2,150,1.59,3.42,0.31,10.9,4.5,84.6,2,1,Mallee
DU25,-33.0887,117.6914,410,15.1,0.5,4.3,26.2,10.5,21.2,9.5,406,68,59,43,4,5.6,1.45,0.05,31,2,34,0.35,1.5,0.08,9.9,0.6,89.5,2,4,Avon Wheatbelt
ES01,-33.7469,121.8153,88,15.9,0.55,6.6,19.8,11.7,19.9,11.7,574,84,51,68,3,5.5,0.71,0.028,1,2,18,0.17,0.78,0.02,2.3,0.8,96.9,1,9,Esperance Plains
ES02,-33.7283,121.7972,96,15.8,0.54,6.5,20.1,11.6,19.9,11.6,563,81,50,68,4,5.8,0.46,0.025,1,0.2,68,0.27,0.49,0.13,1.7,2,96.3,2,3,Esperance Plains
ES05,-33.4886,121.9711,175,15.6,0.54,5.7,21.9,11.1,20.1,11.1,461,59,41,67,4,6,0.87,0.032,10,2,65,0.6,1.34,0.12,1.7,2.1,96.2,4,1,Mallee
ES07,-33.4747,122.1214,195,15.5,0.54,5.6,21.8,11,20,11,464,59,40,68,3,5.9,0.59,0.03,17,2,68,0.43,1.09,0.12,1.6,2.6,95.8,2,1,Mallee
ES08,-33.4583,122.1406,271,15.1,0.54,5.2,21.9,10.5,19.7,10.5,467,59,39,69,4,6.3,0.93,0.037,11,2,75,0.78,2,0.17,1,2.4,96.6,5,1,Mallee
ES09,-33.4847,122.2408,148,15.8,0.55,5.8,21.6,11.3,20.2,11.3,462,59,40,67,4,5.9,0.86,0.031,1,3,46,0.28,1.04,0.07,1.7,1.9,96.5,4,2,Mallee
ES11,-33.7314,122.2972,115,15.7,0.55,6.3,20,11.5,19.7,11.5,580,84,50,70,4,5.5,2.99,0.144,80,2,23,0.22,0.61,0.04,1.8,1.4,96.8,1,9,Esperance Plains
ES14,-33.2923,122.1191,279,15.3,0.54,5,22.9,10.4,20.1,10.4,417,50,34,64,7,6,1.38,0.078,79,3,97,0.71,1.2,0.17,2.3,2.5,95.2,5,2,Mallee
ES15,-33.2923,122.122,287,15.2,0.54,4.9,22.9,10.4,20,10.4,418,50,34,64,9,6,2.7,0.18,83,2,260,1.7,5.5,0.45,3.7,2.4,93.9,5,2,Mallee
ES16,-33.2905,122.1253,294,15.2,0.54,4.9,22.9,10.3,20,10.3,419,50,34,64,5,6.6,2.25,0.104,80,3,260,2.72,4.95,0.54,1.4,4.7,93.9,4,1,Mallee
ES17,-33.2854,122.119,270,15.3,0.54,5,23,10.5,20.1,10.5,414,50,34,63,2,6,0.76,0.036,26,0.2,140,0.97,1.76,0.24,2.7,3.6,93.8,2,2,Mallee
ES18,-33.2784,122.1097,239,15.5,0.54,5.1,23,11.5,20.3,10.7,407,49,34,62,36,8,1.08,0.041,20,2,230,2.49,4.28,0.51,2.2,2.8,95,4,1,Mallee
ES19,-33.6173,122.4068,151,15.6,0.55,5.9,20.7,11.3,19.8,11.3,516,69,44,69,3,5.7,0.84,0.024,10,2,22,0.27,0.91,0.06,0.6,1.6,97.8,2,2,Esperance Plains
ES20,-33.437,122.3931,169,15.7,0.55,5.6,21.8,11.1,20.1,11.1,453,56,39,68,9,6.3,2.36,0.057,61,2,150,1.15,2.98,0.34,2.7,1.8,95.5,1,9,Mallee
ES21,-33.4364,122.3942,171,15.7,0.55,5.6,21.8,11.1,20.1,11.1,453,56,39,68,10,6,2.39,0.043,35,0.2,160,1.33,2.91,0.29,4.3,0.8,94.9,1,9,Mallee
ES22,-33.3979,122.4347,278,15.2,0.54,5.1,22,10.5,19.7,10.5,458,56,37,70,2,6.4,0.7,0.032,26,0.2,140,1,2.04,0.25,2.1,4.5,93.4,2,2,Mallee
ES23,-33.4064,122.4256,250,15.3,0.54,5.2,22,10.7,19.8,10.7,456,56,37,70,25,7.8,1.91,0.077,35,2,320,3.64,8.25,0.78,2.3,4.6,93,4,2,Mallee
ES24,-33.4115,122.4218,237,15.4,0.54,5.3,22,10.7,19.9,10.7,455,56,38,69,6,6.9,1.9,0.053,35,2,170,2.36,5.07,0.44,4.3,5.9,89.8,4,2,Mallee
GP01,-33.3483,120.8725,257,15.7,0.54,5.5,23.2,10.9,20.6,10.9,363,42,29,54,4,6.2,0.84,0.025,11,0.2,56,0.39,1.39,0.12,2.1,2.5,95.4,2,2,Mallee
GP02,-33.3669,120.9953,242,15.7,0.54,5.5,23.1,10.9,20.5,10.9,367,42,29,54,4,6.2,1.27,0.068,28,0.2,150,0.59,1.78,0.3,2.5,3.7,93.8,5,2,Mallee
GP03,-33.2578,121.0964,229,15.9,0.54,5.4,23.7,10.9,20.8,10.9,346,40,28,54,29,8.4,2.02,0.093,42,2,500,3.19,10.68,1.84,2.9,5.6,91.5,4,2,Mallee
GP04,-33.1586,121.0008,231,16,0.54,5.3,24.1,11.8,21.1,10.9,325,38,27,52,10,7.2,1.79,0.07,68,2,230,1.43,6.73,0.55,1.8,2.2,96,1,9,Mallee
GP06,-33.1128,121.1931,237,15.9,0.54,5.1,24.4,11.6,21.1,10.8,328,38,26,54,3,5.8,0.46,0.022,1,0.2,24,0.17,1.2,0.05,1.8,1.7,96.6,1,9,Mallee
GP07,-33.2056,121.3022,191,16,0.54,5.3,24,11.8,21,11,345,41,29,55,380,6.9,1.81,0.096,170,6,460,8.31,1.68,1.39,5.4,6.7,87.9,4,1,Mallee
