Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
KN24,-32.3339,117.8484,314,16.4,0.5,4.4,28.2,11.3,21.5,10.2,353,63,65,35,76,5.6,3.62,0.096,88,4,91,2.07,1.2,0.18,4.8,2.8,92.4,4,2,Avon Wheatbelt
KN25,-32.3327,117.8474,314,16.4,0.5,4.4,28.2,11.3,21.5,10.2,353,63,65,35,9,5.8,0.74,0.028,20,2,38,0.46,1.44,0.13,2.5,3.5,94,2,3,Avon Wheatbelt
KN26,-32.37,117.5855,312,16.3,0.5,4.5,27.8,11.2,21.3,10.2,367,69,68,35,8,5.5,1.06,0.045,47,3,78,0.4,1.7,0.15,6.2,5.9,87.9,2,3,Avon Wheatbelt
KN27,-32.4308,118.1291,295,16.5,0.5,4.3,28.4,11.3,21.6,10.3,333,57,60,36,12,7,2.19,0.13,190,8,250,8.89,6.64,0.62,2.9,2.3,94.8,4,2,Mallee
KN28,-32.4133,118.0924,280,16.6,0.5,4.4,28.4,11.4,21.7,10.4,332,58,61,36,13,7.3,2,0.095,67,4,120,1,7,0.24,1.3,2.1,96.6,1,9,Mallee
KN29,-32.3508,117.8415,328,16.3,0.5,4.3,28.1,11.2,21.4,10.2,356,63,65,35,12,6.5,2.84,0.158,160,7,230,1.53,7.14,0.54,3.6,5,91.5,4,1,Avon Wheatbelt
KN30,-32.3506,117.85,320,16.4,0.5,4.3,28.2,11.2,21.4,10.2,355,63,65,35,4,6.6,1.34,0.056,52,2,81,0.81,3.11,0.23,3.7,2.5,93.7,2,4,Avon Wheatbelt
KN31,-32.3472,117.8199,326,16.3,0.5,4.3,28.1,11.2,21.4,10.2,356,64,65,35,8,6.4,2.26,0.105,94,3,260,3.12,4.51,0.41,3.7,2.5,93.7,4,1,Avon Wheatbelt
KN32,-32.349,117.8553,315,16.4,0.5,4.4,28.2,11.3,21.5,10.2,354,63,65,35,7,6.5,1.84,0.095,62,3,190,2.97,3.54,0.39,4.2,2.9,93,4,1,Avon Wheatbelt
KN33,-32.3501,117.8283,330,16.3,0.5,4.3,28.1,11.2,21.4,10.1,357,64,65,35,5,6,1.67,0.056,61,2,72,1.32,2.61,0.18,5.1,2.6,92.3,4,1,Avon Wheatbelt
KN34,-32.3611,117.8556,319,16.4,0.5,4.3,28.1,11.2,21.4,10.2,355,63,65,35,13,6.5,2.36,0.113,94,4,210,4.41,4.05,0.48,5.1,3.8,91.1,4,2,Avon Wheatbelt
KN35,-32.3473,117.8201,327,16.3,0.5,4.3,28.1,11.2,21.4,10.2,357,64,65,35,8,6.5,2.55,0.094,74,2,130,2.68,5.42,0.33,3.1,2.6,94.3,4,2,Avon Wheatbelt
KN36,-32.3351,117.8406,318,16.4,0.5,4.4,28.2,11.3,21.5,10.2,354,63,65,35,2,6,0.76,0.035,26,0.2,46,0.45,1.41,0.11,2.8,1.8,95.4,2,4,Avon Wheatbelt
KN37,-32.3602,117.8577,316,16.4,0.5,4.4,28.2,11.3,21.4,10.2,354,63,65,35,4,6.3,2.32,0.088,85,2,140,1.56,3.69,0.23,4.1,3.6,92.3,4,2,Avon Wheatbelt
KN38,-32.3358,117.8442,316,16.4,0.5,4.4,28.2,11.3,21.5,10.2,354,63,65,35,2,6,0.95,0.038,32,2,51,0.36,1.18,0.12,2.3,2.5,95.2,2,2,Avon Wheatbelt
KN39,-32.3345,117.8344,323,16.4,0.5,4.3,28.2,11.2,21.4,10.2,355,63,65,35,3,6.1,0.83,0.04,46,2,160,0.66,1.37,0.28,2.6,3.9,93.5,2,2,Avon Wheatbelt
KN40,-32.3371,117.8406,319,16.4,0.5,4.4,28.2,11.2,21.5,10.2,354,63,65,35,2,6.5,0.52,0.025,30,0.2,35,0.58,1.74,0.12,2.8,1.8,95.4,1,9,Avon Wheatbelt
KN41,-32.352,117.8613,311,16.4,0.5,4.4,28.2,11.3,21.5,10.3,353,63,65,35,2,6,0.78,0.032,30,2,97,0.38,0.76,0.19,3.2,2.9,94,2,2,Avon Wheatbelt
KN42,-32.3388,117.8368,322,16.4,0.5,4.3,28.2,11.2,21.4,10.2,355,63,65,35,2,5.8,0.64,0.029,22,0.2,63,0.18,0.62,0.14,3.3,2.2,94.5,1,9,Avon Wheatbelt
KN43,-32.3563,117.8423,331,16.3,0.5,4.3,28.1,11.2,21.4,10.1,357,64,65,35,6,6.4,2.06,0.08,88,2,180,1.51,5.15,0.32,3.3,3.8,92.9,4,2,Avon Wheatbelt
LK02,-33.2036,119.715,306,15.9,0.53,5.3,24.4,11.6,19.8,10.7,333,45,36,53,7,6.6,1.48,0.069,44,0.2,260,2.13,4.41,0.65,2.8,2.5,94.7,4,1,Mallee
LK04,-33.26,119.7578,302,15.9,0.53,5.4,24.1,11.7,19.7,10.8,341,46,35,54,7,6.4,1.33,0.072,60,2,160,1.17,5,0.33,4.2,3,92.8,5,2,Mallee
LK05,-33.2469,119.5511,317,15.8,0.53,5.2,24.4,11.5,19.7,10.6,341,46,36,53,21,5.9,2.68,0.129,93,7,170,2.76,7.17,0.4,3.8,2.2,94,5,2,Mallee
LK06,-33.2775,119.4953,346,15.6,0.52,5.1,24.3,11.3,20.8,10.4,349,47,36,54,4,6,1.07,0.035,18,0.2,52,0.38,1.14,0.13,1.9,1.5,96.7,2,2,Mallee
LK07,-33.3361,119.4942,330,15.6,0.53,5.2,24,11.4,20.8,10.5,353,47,35,55,8,6.2,2.04,0.124,47,0.2,170,0.81,5.94,0.33,2.4,1.7,95.9,5,3,Mallee
LK08,-33.3436,119.525,332,15.6,0.53,5.2,24,11.4,20.7,10.5,354,47,35,56,31,6.2,1.3,0.038,22,2,140,1.12,3.28,0.28,1.8,3.1,95.1,2,3,Mallee
LK10,-33.0419,119.9911,351,15.8,0.52,5.1,24.7,11.4,19.9,10.5,314,42,37,49,3,6,0.63,0.031,28,0.2,92,0.48,0.82,0.2,4.2,2.1,93.7,2,1,Mallee
LK11,-33.4742,119.7419,317,15.6,0.53,5.5,23.2,11.6,20.5,10.7,371,47,31,60,5,6,0.65,0.022,13,2,47,0.25,0.92,0.12,2.2,1,96.8,1,9,Esperance Plains
LK12,-33.2878,120.105,371,15.5,0.53,5.3,23.7,11.3,20.5,10.5,348,43,34,54,19,6.6,1.46,0.051,29,2,180,3.68,3.15,0.39,5.2,4.9,89.9,4,1,Esperance Plains
LK13,-33.0817,119.9981,351,15.8,0.53,5.1,24.6,11.4,19.8,10.5,318,42,37,49,5,6.6,1.15,0.042,38,2,100,1.95,2.21,0.2,4.2,2.7,93.1,4,2,Mallee
LK14,-33.2423,119.7622,308,15.9,0.53,5.4,24.2,11.6,19.7,10.8,339,46,35,54,230,7.7,2.05,0.117,85,7,440,1.31,15.16,1.08,5.6,2.7,91.7,1,9,Mallee
LK15,-33.4997,119.6782,329,15.5,0.53,5.5,23.1,11.5,20.4,10.6,376,48,32,60,52,5.5,1.14,0.04,18,0.2,88,0.73,1.22,0.18,3.3,1.6,95,2,2,Esperance Plains
LK16,-33.3375,119.4939,330,15.6,0.53,5.2,24,11.4,20.8,10.5,353,47,35,55,32,6.1,2.19,0.103,54,3,150,2.15,7.66,0.32,2.8,2.5,94.7,4,1,Mallee
LK17,-33.2451,119.8571,363,15.6,0.53,5.2,24,11.4,20.7,10.5,343,45,35,55,5,6.1,0.99,0.051,61,3,88,0.49,1.79,0.19,2.8,2.8,94.4,5,1,Mallee
LK18,-33.1582,119.9608,342,15.8,0.53,5.2,24.3,11.5,19.7,10.6,325,43,36,51,29,6.5,1.5,0.067,40,2,220,3.78,4.44,0.45,19.8,2.7,77.6,4,2,Mallee
LK19,-32.9675,119.761,341,15.9,0.52,5,25.2,11.4,20.1,10.5,316,43,39,48,11,5.8,0.54,0.026,18,0.2,83,0.43,1.03,0.18,9.9,1.6,88.5,2,1,Mallee
LK20,-33.0885,119.6619,320,15.9,0.52,5.1,24.9,11.5,20,10.6,325,45,38,50,7,6.8,1.53,0.075,53,4,360,3.13,6.7,1.07,7.9,3.1,89,4,1,Mallee
LK22,-33.2448,119.5431,317,15.8,0.53,5.2,24.4,11.5,19.7,10.6,341,46,36,53,96,6.6,2.63,0.109,58,3,320,6.55,6.18,0.81,1.7,2.7,95.6,4,1,Mallee
LK23,-33.2719,119.6808,344,15.6,0.53,5.2,24.1,11.4,20.8,10.5,348,47,35,55,6,6,0.76,0.03,16,0.2,42,0.21,1.18,0.1,1.9,1.2,96.9,1,9,Esperance Plains
LK24,-33.2615,119.7578,302,15.9,0.53,5.4,24.1,11.7,19.7,10.8,342,46,35,54,9,6.8,1.3,0.073,58,2,130,1.11,4.58,0.28,1.5,2.3,96.3,4,2,Mallee
ML01,-28.9807,115.0441,242,18.8,0.51,7.2,26,14.3,24.6,13.1,468,108,91,36,3,6,0.61,0.029,29,0.2,16,0.15,1.18,0.002,1.2,1.5,97.2,2,2,Geraldton Sandplains
ML02,-28.9201,115.2152,246,19.1,0.51,6.9,27.2,14.2,23.4,13,409,92,87,38,2,5.8,0.43,0.028,31,0.2,16,0.06,0.73,0.002,1.9,1.6,96.5,1,9,Geraldton Sandplains
ML03,-28.9179,115.4299,232,19.4,0.5,6.7,28.5,14.2,24.1,13,361,78,81,41,4,5.8,0.66,0.041,37,0.2,39,0.3,1.04,0.05,2.4,1.4,96.1,1,9,Geraldton Sandplains
ML04,-28.9421,115.5474,208,19.7,0.5,6.7,28.9,14.3,24.5,13.1,350,74,79,42,8,7,1.33,0.105,220,4,18,0.58,4.51,0.42,2.6,4.1,93.3,4,1,Avon Wheatbelt
ML05,-28.626,115.6444,300,19.6,0.49,6.1,29.9,13.8,21.7,12.6,320,64,70,51,20,5.6,0.97,0.075,98,2,230,0.71,3.13,0.44,4.8,4.3,90.9,5,2,Avon Wheatbelt
ML06,-28.4774,115.5057,263,19.8,0.49,6.3,29.8,14.1,21.8,12.9,306,61,71,49,3,6.3,0.65,0.046,130,4,130,0.54,1.78,0.25,4.9,2.9,92.2,4,2,Avon Wheatbelt
ML07,-28.4005,115.5765,290,19.8,0.49,6.2,30,14,21.8,12.7,294,58,69,51,4,5.8,0.58,0.049,100,2,210,0.36,0.7,0.38,3.5,4.6,91.9,5,2,Yalgoo
ML08,-28.3091,115.3762,265,19.7,0.5,6.4,29.3,14.1,21.6,12.9,296,60,72,47,2,6.2,0.44,0.023,40,0.2,30,0.2,1.16,0.04,2.8,1.5,95.7,1,9,Geraldton Sandplains
ML09,-28.4142,115.198,241,19.4,0.5,6.6,28.5,14.2,24,13,328,70,79,42,6,5.3,0.65,0.032,35,0.2,57,0.17,0.31,0.09,4.7,2,93.3,3,2,Geraldton Sandplains
ML10,-28.4971,115.2216,215,19.5,0.5,6.7,28.4,14.4,24.1,13.1,334,71,80,41,12,6.9,1.44,0.124,160,6,330,2.98,3.08,0.71,6.4,6.4,87.2,5,5,Geraldton Sandplains
ML11,-28.5027,115.2549,240,19.5,0.5,6.6,28.6,14.2,24.1,13,333,71,79,43,3,6,1.23,0.063,49,0.2,43,0.28,1.41,0.06,1.7,2.2,96,3,1,Geraldton Sandplains
ML13,-28.7223,115.3299,240,19.4,0.5,6.6,28.4,14.2,24.1,13,354,76,80,42,2,6.1,0.38,0.016,25,0.2,20,0.17,0.64,0.02,1.9,0.7,97.3,1,9,Geraldton Sandplains
ML14,-28.9478,115.5487,214,19.6,0.5,6.7,28.9,14.3,24.4,13.1,351,74,79,42,3,6.2,0.88,0.054,130,2,110,0.52,2.27,0.2,2.8,3.1,94.1,1,9,Avon Wheatbelt
ML15,-28.9597,115.5499,225,19.6,0.5,6.6,28.9,14.2,24.4,13,354,75,79,42,69,6.7,1.84,0.122,240,8,200,2.71,3.22,0.44,3.8,3.2,93,4,2,Avon Wheatbelt
ML17,-28.9909,115.0578,202,19,0.51,7.4,26,14.6,22.9,13.4,462,107,91,36,3,6,0.77,0.03,28,0.2,24,0.27,1.45,0.03,1.3,1.6,97,1,9,Geraldton Sandplains
ML18,-28.8269,115.4458,227,19.5,0.5,6.7,28.7,14.2,24.3,13,350,74,79,43,2,5.6,0.79,0.05,89,2,77,0.38,1.29,0.13,3.7,3.6,92.7,1,9,Geraldton Sandplains
ML19,-28.7436,115.0147,197,19.1,0.51,7.2,26.4,14.5,23.1,13.3,416,97,90,35,2,5.9,0.49,0.017,24,0.2,17,0.1,0.49,0.03,1.4,1.4,97.2,1,9,Geraldton Sandplains
ML20,-29.1822,115.4139,152,19.6,0.51,7.2,27.9,14.7,24.1,13.5,389,84,85,36,2,6.1,0.86,0.054,87,3,120,0.48,1.58,0.21,1.9,4.3,93.8,4,2,Avon Wheatbelt
ML21,-29.1453,115.3515,152,19.6,0.51,7.2,27.6,14.7,23.9,13.5,400,87,86,36,4,6,1.46,0.082,87,2,49,0.43,3.72,0.07,1.3,3.2,95.5,4,2,Geraldton Sandplains
ML23,-28.615,115.9547,350,19.5,0.48,5.8,30.5,13.5,21.8,12.3,301,57,65,41,5,6.1,0.73,0.047,82,2,230,1.04,1.64,0.44,3.2,4.3,92.5,5,3,Avon Wheatbelt
ML24,-28.6338,115.6367,306,19.5,0.49,6.1,29.9,13.8,21.6,12.6,322,64,70,51,2,6.2,0.62,0.035,58,0.2,110,0.52,2.07,0.2,1.5,4.4,94.1,4,2,Avon Wheatbelt
ML25,-28.4131,115.1998,247,19.4,0.5,6.5,28.5,14.2,24,12.9,328,70,79,42,100,5.8,0.7,0.029,42,2,58,1.29,0.62,0.07,5.4,3.9,90.7,4,2,Geraldton Sandplains
ML26,-28.412,115.2004,249,19.4,0.5,6.5,28.5,14.2,24,12.9,328,70,78,43,15,5.4,1.67,0.073,40,0.2,47,0.55,1.68,0.05,6,3.3,90.7,4,2,Geraldton Sandplains
MN01,-31.7416,119.0839,412,16.8,0.49,4,29,11,22.1,10.1,322,51,49,48,2,6.8,0.54,0.028,38,2,180,1.9,2.38,0.44,5.8,3.2,91,4,1,Avon Wheatbelt
MN02,-31.0016,118.6928,317,18,0.48,4.7,29.7,12,23.6,11,273,44,51,39,36,8.3,3.34,0.215,170,11,720,3.28,19.31,2.32,4.5,5.5,90,4,3,Avon Wheatbelt
MN03,-31.4113,118.5082,357,17.3,0.48,4.4,29.2,11.6,22.8,10.6,317,51,54,42,3,5.9,1.09,0.032,28,0.2,48,0.36,0.95,0.08,2.5,2.5,95,2,1,Avon Wheatbelt
MN04,-31.5964,118.7566,437,16.8,0.49,4,29.1,11,22.2,10,328,53,53,45,6,5.8,1.05,0.048,46,2,120,1.02,2.55,0.2,7.2,3.1,89.7,4,2,Avon Wheatbelt
MN05,-31.5777,118.7401,425,16.8,0.49,4,29.2,11.1,22.3,10.1,326,52,53,44,2,5.5,0.53,0.023,22,0.2,33,0.24,0.51,0.06,2.8,2.3,94.9,1,9,Avon Wheatbelt
MN06,-31.7614,119.0734,418,16.7,0.49,4,28.9,11,22.1,10,325,52,49,48,7,6,1.5,0.071,50,0.2,91,0.82,4.15,0.15,0.7,2.5,96.8,5,4,Avon Wheatbelt
MN07,-31.2119,118.3031,365,17.5,0.48,4.6,29.1,11.7,23,10.7,300,49,53,41,2,5.9,0.66,0.046,77,2,120,0.29,1.21,0.19,1.8,2.6,95.6,5,2,Avon Wheatbelt
MN10,-31.2446,118.4078,327,17.7,0.48,4.7,29.2,11.9,23.2,10.8,296,48,53,40,3,6.6,0.77,0.052,86,3,250,0.96,3.36,0.54,3.8,3.4,92.7,4,2,Avon Wheatbelt
MN11,-31.2565,118.396,326,17.7,0.48,4.7,29.2,11.9,23.1,10.8,297,48,53,41,19,5.1,0.96,0.037,44,2,82,0.92,0.65,0.14,10.2,2.6,87.3,2,2,Avon Wheatbelt
MN12,-31.1688,118.4388,294,17.9,0.48,4.9,29.3,12.1,23.4,11.1,284,46,53,39,20,8.6,1.78,0.125,130,6,610,1.8,16.42,1.92,2.1,6.6,91.3,4,6,Avon Wheatbelt
MN13,-31.1478,118.4757,295,18,0.48,4.9,29.4,12.1,23.5,11.1,282,46,53,39,20,6.9,0.62,0.037,93,3,190,1.54,3.27,0.47,5.8,4.9,89.4,4,5,Avon Wheatbelt
MN14,-31.1778,118.4281,292,17.9,0.48,4.9,29.3,12.1,23.4,11.1,285,46,53,39,8,7.8,1.38,0.085,92,5,420,2.88,11.4,1.31,3,4.1,92.9,4,4,Avon Wheatbelt
MN15,-31.1672,118.415,288,18,0.48,4.9,29.3,12.1,23.5,11.1,283,46,53,39,6,6.9,1.38,0.052,81,0.2,140,0.6,5.55,0.39,1.7,2.2,96,1,9,Avon Wheatbelt
MN17,-31.4242,118.6841,373,17.3,0.49,4.3,29.3,11.4,22.8,10.4,314,51,54,43,5,5.8,1.56,0.065,62,0.2,110,1.43,1.7,0.2,7.7,3.1,89.1,4,3,Avon Wheatbelt
MN18,-31.4055,118.6844,367,17.3,0.49,4.3,29.3,11.5,22.8,10.5,312,51,53,42,2,6.1,0.76,0.028,32,2,72,0.56,1.42,0.13,4.8,2.9,92.3,4,4,Avon Wheatbelt
MN19,-31.3997,118.6846,365,17.3,0.49,4.3,29.3,11.5,22.8,10.5,311,50,53,42,5,6.2,1.66,0.068,58,2,150,2.98,3.25,0.25,7.6,4.4,88,4,1,Avon Wheatbelt
MN20,-31.2075,118.1648,355,17.5,0.48,4.8,28.9,11.8,23,10.8,300,49,53,41,4,6.3,0.86,0.04,51,0.2,140,1.36,2.23,0.26,2.6,4.4,93,5,2,Avon Wheatbelt
MN21,-31.9109,119.0831,457,16.4,0.49,3.8,28.6,10.7,21.6,9.8,348,55,49,51,4,5.7,0.83,0.029,24,0.2,27,0.2,0.38,0.06,2.8,1.8,95.5,2,2,Avon Wheatbelt
MN22,-31.4903,118.8965,447,16.8,0.49,3.9,29.3,10.9,22.3,10,324,52,53,45,4,6.6,0.7,0.037,55,0.2,110,0.5,1.63,0.25,2.4,2.7,94.9,5,2,Avon Wheatbelt
MN23,-31.4888,118.898,444,16.8,0.49,3.9,29.3,11,22.4,10,323,52,53,45,24,4.9,2.28,0.08,41,4,93,1.31,1,0.14,12.1,4.4,83.5,4,1,Avon Wheatbelt
MN24,-31.5013,118.8816,434,16.9,0.49,4,29.3,11,22.4,10,322,52,53,45,8,5.7,0.41,0.021,22,0.2,44,0.27,0.75,0.09,2.3,1.9,95.8,1,9,Avon Wheatbelt
MN25,-31.6033,118.7697,449,16.7,0.49,3.9,29.1,10.9,22.1,9.9,329,53,53,45,3,6.4,0.85,0.032,33,2,45,0.42,2.58,0.07,1.8,2.5,95.8,4,5,Avon Wheatbelt
MO01,-29.4646,116.2096,309,19,0.49,5.7,30.1,13.2,24.3,12.1,326,64,69,37,2,6.1,0.45,0.027,40,0.2,60,0.25,0.55,0.13,1.3,3,95.7,1,9,Avon Wheatbelt
MO02,-29.4786,116.2083,315,19,0.49,5.7,30.1,13.2,24.2,12.1,327,64,70,37,7,7.4,1.11,0.09,210,16,510,2.75,6.83,1.5,3.3,5.4,91.3,4,1,Avon Wheatbelt
MO03,-29.2445,116.1022,271,19.4,0.49,6,30.2,13.6,21.6,12.5,317,61,68,37,5,6.6,0.85,0.06,140,4,180,0.57,1.85,0.39,2.5,5.3,92.2,5,4,Avon Wheatbelt
MO05,-29.1001,115.9934,295,19.4,0.49,6,30.1,13.6,21.5,12.4,326,63,68,38,3,5.3,0.53,0.033,46,0.2,47,0.13,0.3,0.09,2.5,2.9,94.7,2,2,Avon Wheatbelt
MO06,-28.8788,115.8429,369,19.1,0.49,5.8,30,13.3,21.3,12.1,343,67,68,53,3,5.9,0.74,0.056,74,2,220,0.57,1.49,0.39,1.7,4.2,94.1,5,3,Avon Wheatbelt
MO07,-29.1102,116.1975,254,19.7,0.49,6,30.5,13.7,21.9,12.6,296,56,65,38,310,7.3,1.12,0.08,180,10,300,4.2,3.84,0.62,2.7,4.2,93.1,4,2,Yalgoo
MO09,-29.2536,116.3685,288,19.4,0.49,5.8,30.6,13.4,21.7,12.3,301,56,64,39,2,5.5,1.05,0.054,130,2,130,0.32,0.83,0.22,2.4,5.2,92.4,2,2,Avon Wheatbelt
MO10,-29.2593,116.3849,285,19.5,0.49,5.8,30.6,13.4,21.8,12.3,300,56,64,40,2,6.1,0.71,0.047,73,2,130,0.39,1.97,0.23,2.8,3.9,93.3,5,5,Avon Wheatbelt
MO12,-29.1893,116.4742,257,19.7,0.49,5.8,30.8,13.6,22.1,12.5,288,53,62,40,7,7.1,0.98,0.068,160,4,240,1.68,4.04,0.62,4.3,3.4,92.2,4,1,Yalgoo
MO13,-29.1954,116.3161,273,19.5,0.49,5.8,30.6,13.6,21.8,12.4,297,56,64,39,12,5.8,0.99,0.061,220,3,280,0.99,1.54,0.52,5,6.4,88.6,4,1,Avon Wheatbelt
MO14,-29.2029,116.2162,425,18.7,0.48,5.3,30.3,12.7,21,11.6,322,61,64,41,3,6.1,1.58,0.075,220,2,140,0.85,2.8,0.26,4.5,4.7,90.8,5,2,Avon Wheatbelt
MO15,-29.0827,115.99,304,19.3,0.49,5.9,30.1,13.5,21.5,12.4,326,63,68,38,2,5.8,0.89,0.044,69,2,71,0.37,1.09,0.13,1.8,2.8,95.4,5,4,Avon Wheatbelt
MO16,-28.8819,115.8443,369,19.1,0.49,5.8,30,13.3,21.3,12.1,343,67,68,53,7,6.8,0.62,0.045,94,4,200,1.42,1.94,0.39,4.8,7.2,88,5,1,Avon Wheatbelt
MO17,-28.8976,115.8592,369,19.1,0.49,5.8,30,13.3,21.3,12.1,343,67,68,53,6,6.9,0.64,0.053,94,3,150,0.85,2.62,0.3,4.2,5,90.8,4,1,Avon Wheatbelt
NO01,-28.5696,114.6414,108,19.1,0.52,8,24.4,15.2,22.5,14,455,110,96,32,9,6.4,1.02,0.073,110,3,240,0.74,2.78,0.43,2.3,4.2,93.5,5,3,Geraldton Sandplains
NO02,-28.5471,114.6612,143,19,0.52,7.7,24.9,15,22.4,13.7,460,110,95,32,12,5.8,1.19,0.065,64,3,170,0.96,1.97,0.33,1.7,4.5,93.8,5,1,Geraldton Sandplains
NO03,-28.5456,114.6653,145,18.9,0.52,7.7,24.9,14.9,22.4,13.7,460,110,95,32,8,6.4,1.9,0.109,74,4,150,1.72,5.08,0.27,0,4,96,3,1,Geraldton Sandplains
NO04,-28.5378,114.6706,156,18.9,0.52,7.6,25.1,14.9,24.2,13.6,460,110,95,32,3,5.5,1.44,0.046,23,0.2,18,0.39,1.37,0.05,0.9,1.3,97.8,1,1,Geraldton Sandplains
NO05,-28.5358,114.7348,155,19,0.52,7.3,25.8,14.8,24.5,13.5,453,107,94,32,6,5.4,1.08,0.052,52,2,71,0.24,0.89,0.15,1.1,4,94.9,2,1,Geraldton Sandplains
NO06,-28.5312,114.7381,159,18.9,0.52,7.3,25.8,14.7,24.5,13.5,452,107,94,32,4,5.8,0.78,0.033,22,0.2,33,0.27,1.17,0.07,0.4,1.9,97.7,1,9,Geraldton Sandplains
NO07,-28.0001,114.6315,247,19.1,0.51,7.2,26.4,14.6,22.9,13.4,357,82,87,38,6,6.8,1.39,0.082,120,6,190,1.11,4.1,0.42,2.7,3.7,93.7,4,1,Geraldton Sandplains
NO10,-28.1023,114.5687,219,19,0.52,7.4,25.9,14.7,22.7,13.5,390,90,89,37,9,7.9,1.03,0.079,69,2,52,0.6,9.68,0.14,2.4,0.6,97,1,9,Geraldton Sandplains
NO11,-27.9906,114.1931,29,19.9,0.53,8.8,24.4,16.1,23,15,404,103,99,30,2,5.9,0.42,0.021,30,0.2,27,0.16,0.45,0.06,8.6,6.9,84.4,1,9,Geraldton Sandplains
NO13,-28.5448,114.6636,145,18.9,0.52,7.7,24.9,14.9,22.4,13.7,459,110,95,32,5,6,1.31,0.06,73,2,82,0.83,1.34,0.16,7.3,3.9,88.8,3,2,Geraldton Sandplains
NO14,-28.4782,114.6326,188,18.8,0.52,7.4,25.2,14.7,22.3,13.5,464,110,94,33,4,5.9,1.19,0.048,56,2,80,0.53,0.98,0.13,3.5,4.4,92.1,3,1,Geraldton Sandplains
NO15,-27.8879,114.2188,198,19.2,0.52,8.1,24.7,15.2,22.4,14,400,103,97,33,3,6,0.72,0.031,27,0.2,28,0.3,1.41,0.05,0.4,1.7,97.8,3,1,Geraldton Sandplains
NO16,-27.8912,114.538,243,19.2,0.51,7.4,26.1,14.7,22.9,13.5,349,82,89,37,5,6.1,0.49,0.018,20,0.2,26,0.21,0.73,0.05,1,1.1,97.9,1,9,Geraldton Sandplains
NO18,-28.1707,114.6455,258,18.8,0.51,7.1,26.2,14.4,22.6,13.2,399,90,88,38,6,6.2,0.93,0.054,120,0.2,110,0.52,1.65,0.19,2.1,4.6,93.3,2,1,Geraldton Sandplains
NO20,-28.0887,114.2024,83,19.5,0.53,8.6,24.1,15.8,22.6,14.6,427,108,98,31,85,8.3,2.63,0.219,360,11,79,1.77,8.12,0.16,0.4,2,97.5,1,9,Geraldton Sandplains
NR01,-32.6111,117.1,289,15.9,0.51,4.6,26.9,10.1,20.6,10.1,427,80,72,36,4,5.9,0.69,0.028,27,0.2,35,0.16,0.8,0.06,1.8,1.3,96.8,1,9,Avon Wheatbelt
NR02,-33.0908,117.1714,343,15.3,0.5,4.6,25.9,10.7,21.2,9.8,474,85,68,41,6,6.1,1.58,0.054,35,2,47,0.56,3.01,0.12,1.2,2.1,96.7,1,9,Avon Wheatbelt
NR03,-32.7828,116.865,301,15.4,0.51,4.4,26.5,9.9,21.6,9.9,514,97,75,38,9,6.6,4.37,0.151,120,0.2,220,2.27,8.71,0.59,3.7,3.6,92.7,4,2,Jarrah Forest
NR04,-32.8108,116.8897,287,15.5,0.51,4.5,26.5,9.9,21.6,9.9,508,95,75,38,9,6.4,2.47,0.106,120,2,180,1.82,5.92,0.33,2.6,4.7,92.7,4,2,Jarrah Forest
NR05,-32.8544,116.8292,306,15.3,0.51,4.3,26.4,9.8,21.4,9.8,530,100,75,39,9,5.6,4.19,0.157,96,0.2,130,2.11,4.18,0.35,1.1,2.6,96.3,5,3,Jarrah Forest
NR06,-33.0528,117.2408,303,15.6,0.5,4.8,26,11,21.6,10,448,79,68,39,28,6,3.68,0.136,120,9,210,2.26,8.21,0.46,2.7,2.2,95.1,4,4,Avon Wheatbelt
NR07,-33.1461,117.0536,301,15.4,0.51,4.7,25.9,10.9,21.3,9.9,485,88,70,40,5,5.7,1.51,0.07,47,2,60,0.36,2.03,0.12,1.7,3.4,95,5,2,Avon Wheatbelt
NR08,-33.1275,117.0725,304,15.4,0.51,4.7,25.9,10.9,21.3,9.9,483,88,70,40,4,6.1,0.91,0.03,31,0.2,64,0.3,0.84,0.13,2,2.2,95.8,2,5,Avon Wheatbelt
NR09,-32.7692,116.9522,340,15.3,0.51,4.3,26.5,9.7,21.5,9.7,501,93,73,39,5,5.9,1.93,0.066,20,0.2,55,0.56,3.14,0.1,0.3,1.3,98.3,1,9,Jarrah Forest
NR10,-32.7533,116.9453,334,15.4,0.51,4.4,26.5,9.7,21.6,9.7,499,93,74,38,12,6.2,3.61,0.185,84,0.2,280,3.44,10.99,0.52,5.1,3.9,90.9,4,2,Jarrah Forest
NR11,-32.7342,116.9486,308,15.5,0.51,4.5,26.6,9.9,21.7,9.9,488,91,74,38,5,5.7,2.79,0.093,93,0.2,120,0.78,1.39,0.22,2.6,3.8,93.6,2,3,Jarrah Forest
NR12,-32.7814,116.9492,341,15.3,0.51,4.3,26.4,9.7,21.5,9.7,504,94,73,39,10,5.3,8.01,0.184,81,0.2,170,0.93,2.13,0.31,3.9,1.7,94.4,4,2,Jarrah Forest
